0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:09:25 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13076
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:09:29 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:09:29 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:09:34 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:09:57 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:09:57 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13099
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:09:58 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:09:58 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:00 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:00 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:00 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:00 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:06 -0500] "GET /ProyectoLP1/inicio.jsp HTTP/1.1" 200 6790
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:06 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13076
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:06 -0500] "GET /ProyectoLP1/cssss/5.jpg HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:12 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:12 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:41 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:41 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13075
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:54 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:10:54 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13092
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:03 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:03 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13093
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:19 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:19 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13067
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:24 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:24 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:26 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:26 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13093
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:34 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:34 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13070
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:43 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:11:43 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13093
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:12:08 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:12:08 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13122
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:12:28 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:12:28 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13105
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:12:33 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:12:33 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:12:57 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:12:57 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:13:02 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:13:02 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:13:05 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:13:05 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:13:13 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:13:13 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:13:31 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:13:31 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13105
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:14:20 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:14:20 -0500] "GET /ProyectoLP1/cssss/style.css HTTP/1.1" 200 13122
0:0:0:0:0:0:0:1 - - [10/Jun/2023:20:14:46 -0500] "POST /ProyectoLP1/ServletUsuario HTTP/1.1" 200 1214
